tile_id,label
tile_000,0
tile_001,0
tile_002,0
tile_003,0
tile_004,0
tile_005,0
tile_006,0
tile_007,0
tile_008,0
tile_009,0
tile_010,0
tile_011,0
tile_012,0
tile_013,0
tile_014,0
tile_015,0
tile_016,1
tile_017,1
tile_018,1
tile_019,1
tile_020,1
tile_021,1
tile_022,1
tile_023,1
tile_024,1
tile_025,1
tile_026,1
tile_027,1
tile_028,1
tile_029,1
tile_030,1
tile_031,1
tile_032,2
tile_033,2
tile_034,2
tile_035,2
tile_036,2
tile_037,2
tile_038,2
tile_039,2
tile_040,2
tile_041,2
tile_042,2
tile_043,2
tile_044,2
tile_045,2
tile_046,2
tile_047,2
tile_048,3
tile_049,3
tile_050,3
tile_051,3
tile_052,3
tile_053,3
tile_054,3
tile_055,3
tile_056,3
tile_057,3
tile_058,3
tile_059,3
tile_060,3
tile_061,3
tile_062,3
tile_063,3
